run_id,scenario_name,software_version,seed,log_path,max_time_s,gps_period_s,gps_noise_std_m,waypoint_tolerance_m,slip_start_s,slip_end_s,left_wheel_traction,mission_success,waypoints_reached,duration_s,completion_time_s,telemetry_samples,localization_rmse_m,localization_max_error_m,detector_alerts,detector_false_positives,detection_latency_s,log_sequence_gaps,path_length_m,path_efficiency,cross_track_rmse_m,cross_track_max_error_m
0030f54e-75b0-4580-9a4e-2396bd460f2c,severe_slip,v1,4,artifacts/runs/severe_slip/v1_seed_4.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.1,False,1,38.0,,380,0.3488231586024595,0.38535732118297955,1,0,2.0,0,3.742572759808853,,0.16427322762483904,0.1825647083510266
2a040209-8a2f-45cc-9f4d-8717bfebb67a,severe_slip,v2,4,artifacts/runs/severe_slip/v2_seed_4.jsonl,38.0,0.5,0.06,0.22,5.0,9.0,0.1,True,3,16.8,16.8,168,0.15533412600960053,0.5370150906196334,2,0,2.0,0,7.763281178874682,0.7488470113140081,0.34107820138806944,0.8435930662329295
d8ab90e0-eecf-42e0-b06f-4fc31731d834,noisy_gps,v1,0,artifacts/runs/noisy_gps/v1_seed_0.jsonl,38.0,0.5,0.12,0.22,100.0,101.9,1.0,True,3,9.3,9.3,93,0.0,0.0,2,2,,0,5.79405255202485,1.0,0.0,0.0
13e7d295-04a7-415d-b0fe-aa41782d1d59,noisy_gps,v2,0,artifacts/runs/noisy_gps/v2_seed_0.jsonl,38.0,0.5,0.12,0.22,100.0,101.9,1.0,True,3,11.4,11.4,114,0.1478842190947454,0.35643455787854894,4,4,,0,6.279785200584804,0.9306528782487182,0.1756545275148649,0.38160948059972216
f5f045d2-af16-4f46-9197-d836ab0436d5,noisy_gps,v1,1,artifacts/runs/noisy_gps/v1_seed_1.jsonl,38.0,0.5,0.12,0.22,100.0,101.9,1.0,True,3,9.3,9.3,93,0.0,0.0,0,0,,0,5.79405255202485,1.0,0.0,0.0
d2f29c7f-7c13-458c-bc19-5ba9ba2481cd,noisy_gps,v2,1,artifacts/runs/noisy_gps/v2_seed_1.jsonl,38.0,0.5,0.12,0.22,100.0,101.9,1.0,True,3,11.9,11.9,119,0.14089528977293467,0.31367099433025236,3,3,,0,6.3706618519636,0.9269491598534122,0.1683456677336788,0.36057921019879907
1e3bc3ce-3e9c-4a4d-a7d2-a0b3e3d886d3,noisy_gps,v1,2,artifacts/runs/noisy_gps/v1_seed_2.jsonl,38.0,0.5,0.12,0.22,100.0,101.9,1.0,True,3,9.3,9.3,93,0.0,0.0,2,2,,0,5.79405255202485,1.0,0.0,0.0
2bf9ceed-294f-4338-8a02-094895a370e1,noisy_gps,v2,2,artifacts/runs/noisy_gps/v2_seed_2.jsonl,38.0,0.5,0.12,0.22,100.0,101.9,1.0,True,3,9.3,9.3,93,0.1429642483131874,0.37842734316315174,1,1,,0,6.095433370744012,0.9507127042750686,0.18840047883298697,0.3680866176274229
80eb8a63-2028-49da-bf2c-065d2ba0821f,noisy_gps,v1,3,artifacts/runs/noisy_gps/v1_seed_3.jsonl,38.0,0.5,0.12,0.22,100.0,101.9,1.0,True,3,9.3,9.3,93,0.0,0.0,2,2,,0,5.79405255202485,1.0,0.0,0.0
fc2d6ecc-42ab-49bd-822e-c86cc2dcf28e,noisy_gps,v2,3,artifacts/runs/noisy_gps/v2_seed_3.jsonl,38.0,0.5,0.12,0.22,100.0,101.9,1.0,True,3,10.0,10.0,100,0.1417646543232481,0.28134348233837436,3,3,,0,5.94099563032802,0.9795897961559056,0.09744219117188395,0.1747204707467581
ad054f35-36a9-477b-bd9e-ca7374aa5bf7,noisy_gps,v1,4,artifacts/runs/noisy_gps/v1_seed_4.jsonl,38.0,0.5,0.12,0.22,100.0,101.9,1.0,True,3,9.3,9.3,93,0.0,0.0,0,0,,0,5.79405255202485,1.0,0.0,0.0
419e855a-dd3b-4eb5-99c7-38f945bfc4a0,noisy_gps,v2,4,artifacts/runs/noisy_gps/v2_seed_4.jsonl,38.0,0.5,0.12,0.22,100.0,101.9,1.0,True,3,9.9,9.9,99,0.11353406031137696,0.36338818950952423,1,1,,0,5.972774838048899,0.9694778986615816,0.18701995579367625,0.4644940828566343
